url,title,emails,phones,contact_url
https://www.tworzywa.org/firmy/lista/130_granulaty,"Granulaty, firmy, producenci, dostawcy - tworzywa.org",,668-348-253;340080820,https://www.tworzywa.org/index/kontakt
https://www.granpol.com.pl/,"Producent granulatów z PVC, SBS, SEBS | Granpol",biuro@granpol.com.pl,910180160,https://www.granpol.com.pl/kontakt/
https://agaplast.pl/produkty/granulaty/,"Producent Granulatów twardych, miękkich i polwintów kablowych - Agaplast",agaplast@agaplast.pl;zamowienia@agaplast.pl,510948922;+48 728 360 788;000001939;000023556,https://agaplast.pl/kontakt/
https://www.industrystock.pl/pl/firmy/Przemys%C5%82-chemiczny/Materia%C5%82y-pomocnicze/Granulaty,"Granulaty - 148 Producenci, Dystrybutorzy i Dostawcy",,,
https://panoramafirm.pl/producent_granulatu,Producent granulatu - lista firm w całej Polsce | Panorama Firm,kontakt@wenet.pl,,mailto:kontakt@wenet.pl
https://ekomer.pl/,Producent granulatów PVC i przemiału PCW | Ekomer,ksiegowosc@ekomer.pl;e.gawronska@ekomer.pl;a.stojanowska@ekomer.pl;r.piatkowski@ekomer.pl;m.czajkowski@ekomer.pl;p.wroblewska@ekomer.pl;d.kwiatkowska@ekomer.pl;m.strzelecki@ekomer.pl;invoice@ekomer.pl;a.straczynski@ekomer.pl;a.piorkowska@ekomer.pl;f.kalinowski@ekomer.pl;office@ekomer.pl,+48 519366090;+48 600335941;+48 660473880;+48 698637496;+48 698842434;+48 512235878;+48 608077119;+48 608369029,https://ekomer.pl/kontakt/
https://zaptech.com.pl/,"Granulaty tworzyw sztucznych Producent, usługi granulacji ZAPTECH",beata.korzeniewska@zaptech.com.pl;office@zaptech.com.pl;biuro@zaptech.com.pl;sylwia.zimna@zaptech.com.pl;wojciech.michalski@zaptech.com.pl;pakosc@zaptech.com.pl;ms@zaptech.com.pl,+48 664 433 726;557100202;000000069;091171140;+48 725 427 066;510 456 238;+48 502 151 325;+48 502 764 183;000018015;+48 500 208 770,https://zaptech.com.pl/kontakt/
https://gamrat.pl/granulaty-pvc/,"Granulaty PVC, Producent Granulatów i Mieszanek PVC | Gamrat",gamrat@gamrat.pl;gamrat@gamrat.com.pl,000009445;000009136,https://gamrat.pl/kontakt-wybierz/
https://www.granulat.com.pl/,Dystrybucja granulatów tworzyw sztucznych: Granulat – Częstochowa,biuro@granulat.com.pl,+48 600 601 677;+48 694 005 166;+48 664 776 121,"https://www.granulat.com.pl/pl/6,Kontakt"
https://ttplast.com/produkcja-granulatu-pcv/,Produkcja granulatu PCV - TT PLAST S.A.,biuro@ttplast.com,356395014;683186221;000079231,https://ttplast.com/kontakt/
https://artplastpet.pl/,Start,t.wieczorek@artplastpet.pl;biuro@artplastpet.pl;andrzej@artplastpet.pl;p.pyrzyna@artplastpet.pl;przemek@artplastpet.pl;zakupy@artplastpet.pl;zbyszek@artplastpet.pl,+48 605 037 031;+48 530 930 580;+48 605 328 540;+48 607 780 133;728260001;+48 609 783 630,https://artplastpet.pl/kontakt/
https://ecovinyl.eu/,Ecovinyl,m.ciszewski@poli-eco.pl;a.maciuszonek@poli-eco.pl,977944492;600 399 091;+48 600 399 092,https://ecovinyl.eu/kontakt/
https://panoramafirm.pl/produkcja_granulatu,Produkcja granulatu - lista firm w całej Polsce | Panorama Firm,kontakt@wenet.pl,,mailto:kontakt@wenet.pl
https://ergis.eu/pl/contents/dla-klientow/granulaty-pvc/plastyfikaty-techniczne-twarde,Twarde granulaty techniczne (plastyfikaty) | Ergis – polski producent,ergis@ergis.eu,000088747;525285408;388369316;000552829,https://forms.gle/CGP1VZisRC62c1sdA
https://orzelsa.com/pl/zaklad-produkcji-granulatu-gumowego/,Orzeł SA – zakład produkcji granulatu gumowego w Poniatowej,kolszowy@orzelsa.com;kgora@orzelsa.com;jczarnecka@orzelsa.com;dolszak@orzelsa.com;mbrzyski@orzelsa.com;kmroz@orzelsa.com;granulat@orzelsa.com;drduch@orzelsa.com;info@orzelsa.com,+48 607 629 971;+48 609 451 543;060313241;+48 519 404 382;+48 735 250 619;000029632;+48 530 295 075;+48 519 404 377;+48 667 713 999,https://orzelsa.com/pl/kontakt/
https://www.cetus.com.pl/granulat/index.html,Cetus sp. z o.o. granulat gumowy,info@cetus.com.pl,,https://www.cetus.com.pl/granulat/index.html#contact
https://www.tworzywa.org/firmy/lista/138_pet-politereftalen-etylenu,"PET (politereftalen etylenu), firmy, producenci, dostawcy - tworzywa.org",,668-348-253;340080820,https://www.tworzywa.org/index/kontakt
https://megastyro.pl/pl/granulat-styropianowy-155/,Granulat styropianowy – producent styropianu - MegaStyro,sklep@megastyro.pl;efaktury@megastyro.pl;megastyro@megastyro.pl;biuro@megastyro.pl,665 485 251;793 676 360;791 242 373;+48 666 676 360;000057940;666 676 360;+48 665 485 251;505 952 219;790 676 360;+48 790 676 360;605 766 218;504 871 743,https://megastyro.pl/pl/kontakt/
https://poldaun.pl/granulat-poliestrowy/,Granulat poliestrowy - Poldaun - producent najlepszych kołder i poduszek,marketing@poldaun.pl;biuro@poldaun.pl;export@poldaun.pl,003670540;+48 663 939 919,https://poldaun.pl/#kontakt
https://www.industrystock.pl/pl/firmy/Przemys%C5%82-tworzyw-sztucznych/Technika-tworzyw-sztucznych/Granulaty-z-tworzyw-sztucznych,"Granulaty z tworzyw sztucznych - 202 Producenci, Dystrybutorzy i Dostawcy",,,
